timestamp,year_level,age,gender,section,i_can_write_computer_programs_to_solve_problems_assigned_in_class,i_am_confident_in_using_programming_languages_and_software_tools_commonly_required_in_the_tech_industry,i_can_learn_and_apply_a_new_programming_language_or_software_tool_with_minimal_guidance,i_can_independently_design_and_implement_a_functional_software_project_from_start_to_finish,i_can_clearly_explain_technical_concepts_to_classmates_colleagues_or_non_technical_individuals,i_can_contribute_effectively_to_a_team_project_completing_assigned_tasks_on_time,i_can_prioritize_tasks_and_manage_my_time_to_meet_deadlines,i_can_identify_solutions_to_unexpected_problems_during_a_project_or_assignment,i_feel_ready_to_apply_for_an_entry_level_job_in_the_technology_industry_after_graduation,i_believe_i_have_the_skills_employers_expect_from_computer_science_graduates,i_am_confident_in_handling_typical_technical_interview_questions_or_assessments,i_feel_prepared_to_take_on_responsibilities_in_a_professional_work_environment,i_understand_how_ai_and_automation_are_changing_employment_opportunities_in_technology,i_can_adapt_my_technical_and_soft_skills_to_meet_evolving_industry_requirements,i_actively_seek_ways_to_improve_my_employability_such_as_participating_in_projects_internships_or_additional_training,i_have_a_portfolio_of_completed_projects_that_i_can_showcase_to_potential_employers,i_have_participated_in_hackathons_coding_competitions_or_related_extracurricular_activities_that_demonstrate_my_skills,i_have_obtained_certifications_or_badges_relevant_to_computer_science_or_technology,i_maintain_an_up_to_date_linkedin_profile_online_professional_presence_github_account_that_highlights_my_projects_and_skills,score_technical,score_soft,score_job_readiness,score_industry_trend,evidence_score
8/22/2025 20:52:11,2,20,Male,CS2101,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,3.0,3.0,3.0,3.0,0
8/22/2025 20:52:59,2,21,Male,CS2101,3.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,0,0,0,0,2.5,2.75,3.5,5.0,0
8/22/2025 21:41:09,2,19,Male,CS2101,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,5.0,5.0,5.0,4
8/22/2025 21:49:30,2,19,Female,CS2101,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,0,0,1,0,3.0,2.75,2.5,2.6666666666666665,1
8/22/2025 21:55:48,2,20,Male,CS2101,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,1,1,1,0,4.0,4.5,4.25,4.333333333333333,3
8/22/2025 22:50:11,2,18,Male,CS2101,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0,0,0,0,4.0,4.75,4.25,5.0,0
8/23/2025 9:45:06,2,18,Male,CS2101,3.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,0,0,0,0,2.25,3.25,2.5,3.3333333333333335,0
8/23/2025 9:57:27,2,20,Male,CS2101,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,0,0,0,0,3.75,2.5,2.25,3.0,0
8/25/2025 14:25:18,2,20,Female,CS2101,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,1,0,3.5,3.5,2.75,3.0,1
8/26/2025 9:40:11,2,20,Male,CS2101,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1,0,0,1,3.5,3.5,3.25,3.6666666666666665,2
8/26/2025 9:41:23,2,19,Female,CS2101,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0,0,1,0,3.0,3.5,2.5,2.6666666666666665,1
8/26/2025 9:42:45,2,20,Male,CS2101,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,0,1,4.25,4.5,4.25,4.666666666666667,3
8/26/2025 9:43:58,2,19,Male,CS2101,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0,0,0,0,2.5,2.75,2.0,2.6666666666666665,0
8/26/2025 9:45:11,2,21,Female,CS2101,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1,0,1,1,3.75,4.25,3.5,3.6666666666666665,3
8/26/2025 9:46:33,2,20,Male,CS2101,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,0,0,0,1,3.25,3.5,2.75,3.3333333333333335,1
8/26/2025 9:47:45,2,19,Prefer not to say,CS2101,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,1,0,1,1,3.75,4.25,3.25,4.666666666666667,3
8/26/2025 9:48:58,2,20,Male,CS2101,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1,1,1,1,4.5,4.75,4.25,5.0,4
8/26/2025 9:50:11,2,19,Female,CS2101,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0,0,1,0,3.0,3.5,2.5,2.6666666666666665,1
8/26/2025 9:51:33,2,20,Male,CS2101,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1,0,0,1,3.5,3.5,3.25,3.6666666666666665,2
8/26/2025 9:52:45,2,21,Male,CS2101,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0,0,0,0,2.5,2.75,2.0,2.6666666666666665,0
8/22/2025 20:56:35,3,22,Male,CS3102,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,0,1,1,3.0,3.0,3.0,3.0,2
8/22/2025 22:00:16,3,21,Male,CS3102,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1,0,1,0,5.0,4.25,3.5,3.6666666666666665,2
8/23/2025 6:10:22,3,19,Prefer not to say,CS3102,4.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,0,0,1,1,3.5,4.0,4.25,5.0,2
8/25/2025 17:56:36,3,20,Male,CS3102,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0,0,1,1,3.75,4.25,4.0,3.6666666666666665,2
8/25/2025 18:04:41,3,20,Prefer not to say,CS2101,1.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,0,0,0,0,2.5,2.5,2.75,3.3333333333333335,0
8/26/2025 9:55:11,3,21,Male,CS3102,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,0,1,4.25,4.5,4.25,4.666666666666667,3
8/26/2025 9:56:23,3,20,Female,CS3102,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1,0,1,1,3.5,4.0,3.5,3.6666666666666665,3
8/26/2025 9:57:45,3,21,Male,CS3102,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,4.75,5.0,5.0,4
8/26/2025 9:58:58,3,22,Male,CS3102,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,3.5,3.5,3.0,3.3333333333333335,1
8/26/2025 10:00:11,3,21,Female,CS3102,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,1,1,4.25,4.5,4.25,4.666666666666667,4
8/26/2025 10:01:33,3,20,Male,CS3102,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,0,0,0,1,3.25,3.5,2.75,3.3333333333333335,1
8/26/2025 10:02:45,3,21,Prefer not to say,CS3102,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,1,0,1,1,3.75,4.25,3.25,4.666666666666667,3
8/26/2025 10:03:58,3,22,Male,CS3102,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1,1,1,1,4.5,4.75,4.25,5.0,4
8/26/2025 10:05:11,3,21,Female,CS3102,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0,0,1,0,3.0,3.5,2.5,2.6666666666666665,1
8/26/2025 10:06:33,3,20,Male,CS3102,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1,0,0,1,3.5,3.5,3.25,3.6666666666666665,2
8/26/2025 10:07:45,3,21,Male,CS3102,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0,0,0,0,2.5,2.75,2.0,2.6666666666666665,0
8/26/2025 10:08:58,3,22,Female,CS3102,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,1,1,4.25,4.5,4.25,4.666666666666667,4
8/26/2025 10:10:11,3,21,Male,CS3102,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,3.5,3.5,3.0,3.3333333333333335,1
8/26/2025 10:11:33,3,20,Prefer not to say,CS3102,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,4.75,5.0,5.0,4
8/26/2025 10:12:45,3,21,Male,CS3102,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1,0,1,1,3.5,4.0,3.5,3.6666666666666665,3
8/22/2025 20:59:51,4,23,Male,CS4101,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1,0,0,1,4.25,3.5,4.0,3.6666666666666665,2
8/22/2025 21:06:16,4,22,Male,CS3102,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,1,1,4.0,4.0,4.0,4.0,4
8/26/2025 10:15:11,4,22,Female,CS4101,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,5.0,5.0,5.0,4
8/26/2025 10:16:23,4,23,Male,CS4101,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,0,1,4.25,4.5,4.25,4.666666666666667,3
8/26/2025 10:17:45,4,22,Male,CS4101,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,3.5,3.5,3.0,3.3333333333333335,1
8/26/2025 10:18:58,4,24,Female,CS4101,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,4.75,5.0,5.0,4
8/26/2025 10:20:11,4,23,Male,CS4101,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1,0,1,1,3.5,4.0,3.5,3.6666666666666665,3
8/26/2025 10:21:33,4,22,Prefer not to say,CS4101,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,1,1,4.25,4.5,4.25,4.666666666666667,4
8/26/2025 10:22:45,4,23,Male,CS4101,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1,1,1,1,4.5,4.75,4.25,5.0,4
8/26/2025 10:23:58,4,22,Female,CS4101,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,3.5,3.5,3.0,3.3333333333333335,1
8/26/2025 10:25:11,4,23,Male,CS4101,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,4.75,5.0,5.0,4
8/26/2025 10:26:33,4,24,Male,CS4101,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,0,1,4.25,4.5,4.25,4.666666666666667,3
8/26/2025 10:27:45,4,22,Female,CS4101,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1,0,1,1,3.5,4.0,3.5,3.6666666666666665,3
8/26/2025 10:28:58,4,23,Male,CS4101,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0,0,0,1,3.5,3.5,3.0,3.3333333333333335,1
8-26/2025 10:30:11,4,22,Prefer not to say,CS4101,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,4.75,5.0,5.0,4
8/26/2025 10:31:33,4,23,Male,CS4101,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,0,1,4.25,4.5,4.25,4.666666666666667,3
8/26/2025 10:32:45,4,24,Female,CS4101,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1,1,1,1,4.5,4.75,4.25,5.0,4
8/26/2025 10:33:58,4,23,Male,CS4101,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,0,0,0,1,3.25,3.5,2.75,3.3333333333333335,1
8/26/2025 10:35:11,4,22,Male,CS4101,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1,1,1,1,4.25,4.5,4.25,4.666666666666667,4
8/26/2025 10:36:33,4,23,Female,CS4101,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,1,5.0,5.0,5.0,5.0,4
